route_id,service_id,trip_id,trip_headsign,shape_id,wheelchair_accessible
L30D1,15,40262,"Bulovka",491,1
L30D1,15,40263,"Sídliště Ďáblice",492,1
L30D1,15,40264,"Bulovka",491,1
L30D1,15,40265,"Sídliště Ďáblice",492,1
L30D1,15,40266,"Bulovka",491,1
L30D1,15,40267,"Sídliště Ďáblice",492,1
L30D1,15,40268,"Bulovka",491,1
L30D1,15,40269,"Sídliště Ďáblice",492,1
L30D1,15,40270,"Bulovka",491,1
L30D1,15,40271,"Sídliště Ďáblice",492,1
L30D1,15,40272,"Bulovka",491,1
L30D1,15,40273,"Sídliště Ďáblice",492,1
L30D1,15,40274,"Bulovka",491,1
L30D1,15,40275,"Sídliště Ďáblice",492,1
L30D1,15,40276,"Bulovka",491,1
L30D1,15,40277,"Sídliště Ďáblice",492,1
L30D1,15,40278,"Bulovka",491,1
L30D1,15,40279,"Sídliště Ďáblice",492,1
L30D1,15,40280,"Bulovka",491,1
L30D1,15,40281,"Sídliště Ďáblice",492,1
L30D1,15,40282,"Bulovka",491,1
L30D1,15,40283,"Sídliště Ďáblice",492,1
L30D1,15,40284,"Bulovka",491,1
L30D1,15,40285,"Sídliště Ďáblice",492,1
L30D1,15,40286,"Bulovka",491,1
L30D1,15,40287,"Sídliště Ďáblice",492,1
L30D1,15,40288,"Bulovka",491,1
L30D1,15,40289,"Sídliště Ďáblice",492,1
L30D1,16,40290,"Bulovka",491,1
L30D1,16,40291,"Sídliště Ďáblice",492,1
L30D1,16,40292,"Střelničná",493,1
L30D1,15,40293,"Ke Stírce",497,1
L30D1,16,40294,"Vozovna Kobylisy",495,1
L30D1,15,40295,"Sídliště Ďáblice",496,1
L30D1,15,40296,"Bulovka",491,1
L30D1,15,40297,"Sídliště Ďáblice",492,1
L30D1,15,40298,"Bulovka",491,1
L30D1,15,40299,"Sídliště Ďáblice",492,1
L30D1,15,40300,"Bulovka",491,1
L30D1,15,40301,"Sídliště Ďáblice",492,1
L30D1,15,40302,"Bulovka",491,1
L30D1,15,40303,"Sídliště Ďáblice",492,1
L30D1,15,40304,"Bulovka",491,1
L30D1,15,40305,"Sídliště Ďáblice",492,1
L30D1,15,40306,"Bulovka",491,1
L30D1,15,40307,"Sídliště Ďáblice",492,1
L30D1,15,40308,"Bulovka",491,1
L30D1,15,40309,"Sídliště Ďáblice",492,1
L30D1,15,40310,"Bulovka",491,1
L30D1,15,40311,"Sídliště Ďáblice",492,1
L30D1,15,40312,"Bulovka",491,1
L30D1,15,40313,"Sídliště Ďáblice",492,1
L30D1,15,40314,"Bulovka",491,1
L30D1,15,40315,"Sídliště Ďáblice",492,1
L30D1,15,40316,"Bulovka",491,1
L30D1,15,40317,"Sídliště Ďáblice",492,1
L30D1,15,40318,"Bulovka",491,1
L30D1,15,40319,"Sídliště Ďáblice",492,1
L30D1,15,40320,"Bulovka",491,1
L30D1,15,40321,"Sídliště Ďáblice",492,1
L30D1,15,40322,"Bulovka",491,1
L30D1,15,40323,"Sídliště Ďáblice",492,1
L30D1,15,40324,"Bulovka",491,1
L30D1,15,40325,"Sídliště Ďáblice",492,1
L30D1,15,40326,"Bulovka",491,1
L30D1,15,40327,"Sídliště Ďáblice",492,1
L30D1,15,40328,"Bulovka",491,1
L30D1,15,40329,"Sídliště Ďáblice",492,1
L30D1,15,40330,"Bulovka",491,1
L30D1,15,40331,"Sídliště Ďáblice",492,1
L30D1,15,40332,"Bulovka",491,1
L30D1,15,40333,"Sídliště Ďáblice",492,1
L30D1,15,40334,"Bulovka",491,1
L30D1,15,40335,"Sídliště Ďáblice",492,1
L30D1,15,40336,"Bulovka",491,1
L30D1,15,40337,"Sídliště Ďáblice",492,1
L30D1,15,40338,"Bulovka",491,1
L30D1,15,40339,"Sídliště Ďáblice",492,1
L30D1,15,40340,"Bulovka",491,1
L30D1,15,40341,"Sídliště Ďáblice",492,1
L30D1,15,40342,"Střelničná",493,1
L30D1,15,40343,"Ke Stírce",497,1
L30D1,15,40344,"Vozovna Kobylisy",495,1
L30D1,15,40345,"Sídliště Ďáblice",490,1
L30D1,15,40346,"Bulovka",491,1
L30D1,15,40347,"Sídliště Ďáblice",492,1
L30D1,15,40348,"Bulovka",491,1
L30D1,15,40349,"Sídliště Ďáblice",492,1
L30D1,15,40350,"Bulovka",491,1
L30D1,15,40351,"Sídliště Ďáblice",492,1
L30D1,15,40352,"Bulovka",491,1
L30D1,15,40353,"Sídliště Ďáblice",492,1
L30D1,15,40354,"Bulovka",491,1
L30D1,15,40355,"Sídliště Ďáblice",492,1
L30D1,15,40356,"Bulovka",491,1
L30D1,15,40357,"Sídliště Ďáblice",492,1
L30D1,15,40358,"Bulovka",491,1
L30D1,15,40359,"Sídliště Ďáblice",492,1
L30D1,15,40360,"Bulovka",491,1
L30D1,15,40361,"Sídliště Ďáblice",492,1
L30D1,15,40362,"Bulovka",491,1
L30D1,15,40363,"Sídliště Ďáblice",492,1
L30D1,15,40364,"Bulovka",491,1
L30D1,15,40365,"Sídliště Ďáblice",492,1
L30D1,15,40366,"Bulovka",491,1
L30D1,15,40367,"Sídliště Ďáblice",492,1
L30D1,15,40368,"Bulovka",491,1
L30D1,15,40369,"Sídliště Ďáblice",492,1
L30D1,15,40370,"Bulovka",491,1
L30D1,15,40371,"Sídliště Ďáblice",492,1
L30D1,15,40372,"Bulovka",491,1
L30D1,15,40373,"Sídliště Ďáblice",492,1
L30D1,15,40374,"Bulovka",491,1
L30D1,15,40375,"Sídliště Ďáblice",492,1
L30D1,15,40376,"Bulovka",491,1
L30D1,15,40377,"Sídliště Ďáblice",492,1
L30D1,15,40378,"Bulovka",491,1
L30D1,15,40379,"Sídliště Ďáblice",492,1
L30D1,15,40380,"Bulovka",491,1
L30D1,15,40381,"Sídliště Ďáblice",492,1
L30D1,15,40382,"Bulovka",491,1
L30D1,15,40383,"Sídliště Ďáblice",492,1
L30D1,15,40384,"Bulovka",491,1
L30D1,15,40385,"Sídliště Ďáblice",492,1
L30D1,15,40386,"Bulovka",491,1
L30D1,15,40387,"Sídliště Ďáblice",492,1
L30D1,15,40388,"Bulovka",491,1
L30D1,15,40389,"Sídliště Ďáblice",492,1
L30D1,15,40390,"Bulovka",491,1
L30D1,15,40391,"Sídliště Ďáblice",492,1
L30D1,15,40392,"Bulovka",491,1
L30D1,15,40393,"Sídliště Ďáblice",492,1
L30D1,15,40394,"Ke Stírce",499,1
L30D1,15,40395,"Střelničná",494,1
L30D1,15,40396,"Vozovna Hloubětín",501,1
L30D1,15,40397,"Sídliště Ďáblice",490,1
L30D1,15,40398,"Bulovka",491,1
L30D1,15,40399,"Sídliště Ďáblice",492,1
L30D1,15,40400,"Bulovka",491,1
L30D1,15,40401,"Sídliště Ďáblice",492,1
L30D1,15,40402,"Bulovka",491,1
L30D1,15,40403,"Sídliště Ďáblice",492,1
L30D1,15,40404,"Bulovka",491,1
L30D1,15,40405,"Sídliště Ďáblice",492,1
L30D1,15,40406,"Bulovka",491,1
L30D1,15,40407,"Sídliště Ďáblice",492,1
L30D1,15,40408,"Bulovka",491,1
L30D1,15,40409,"Sídliště Ďáblice",492,1
L30D1,15,40410,"Bulovka",491,1
L30D1,15,40411,"Sídliště Ďáblice",492,1
L30D1,15,40412,"Bulovka",491,1
L30D1,15,40413,"Sídliště Ďáblice",492,1
L30D1,15,40414,"Bulovka",491,1
L30D1,15,40415,"Sídliště Ďáblice",492,1
L30D1,15,40416,"Bulovka",491,1
L30D1,15,40417,"Sídliště Ďáblice",492,1
L30D1,15,40418,"Bulovka",491,1
L30D1,15,40419,"Sídliště Ďáblice",492,1
L30D1,15,40420,"Bulovka",491,1
L30D1,15,40421,"Sídliště Ďáblice",492,1
L30D1,15,40422,"Bulovka",491,1
L30D1,15,40423,"Sídliště Ďáblice",492,1
L30D1,15,40424,"Bulovka",491,1
L30D1,15,40425,"Sídliště Ďáblice",492,1
L30D1,15,40426,"Bulovka",491,1
L30D1,15,40427,"Sídliště Ďáblice",492,1
L30D1,15,40428,"Bulovka",491,1
L30D1,15,40429,"Sídliště Ďáblice",492,1
L30D1,15,40430,"Bulovka",491,1
L30D1,15,40431,"Sídliště Ďáblice",492,1
L30D1,15,40432,"Bulovka",491,1
L30D1,15,40433,"Sídliště Ďáblice",492,1
L30D1,15,40434,"Bulovka",491,1
L30D1,15,40435,"Sídliště Ďáblice",492,1
L30D1,15,40436,"Bulovka",491,1
L30D1,15,40437,"Sídliště Ďáblice",492,1
L30D1,15,40438,"Bulovka",491,1
L30D1,15,40439,"Sídliště Ďáblice",492,1
L30D1,15,40440,"Bulovka",491,1
L30D1,15,40441,"Sídliště Ďáblice",492,1
L30D1,15,40442,"Ke Stírce",499,1
L30D1,15,40443,"Střelničná",494,1
L30D1,15,40444,"Vozovna Hloubětín",501,1
L31D1,3,40445,"Spojovací",502,1
L31D1,3,40446,"Palmovka",503,1
L31D1,3,40447,"Spojovací",502,1
L31D1,3,40448,"Palmovka",503,1
L31D1,3,40449,"Spojovací",502,1
L31D1,3,40450,"Palmovka",503,1
L31D1,3,40451,"Spojovací",502,1
L31D1,3,40452,"Palmovka",503,1
L31D1,3,40453,"Spojovací",502,1
L31D1,3,40454,"Palmovka",503,1
L31D1,3,40455,"Spojovací",502,1
L31D1,3,40456,"Palmovka",503,1
L31D1,3,40457,"Spojovací",502,1
L31D1,3,40458,"Palmovka",503,1
L31D1,3,40459,"Spojovací",502,1
L31D1,3,40460,"Palmovka",503,1
L31D1,3,40461,"Spojovací",502,1
L31D1,3,40462,"Palmovka",503,1
L31D1,3,40463,"Spojovací",502,1
L31D1,3,40464,"Palmovka",503,1
L31D1,3,40465,"Spojovací",502,1
L31D1,3,40466,"Palmovka",503,1
L31D1,3,40467,"Spojovací",502,1
L31D1,3,40468,"Palmovka",503,1
L31D1,3,40469,"Spojovací",502,1
L31D1,3,40470,"Palmovka",503,1
L31D1,3,40471,"Spojovací",502,1
L31D1,3,40472,"Palmovka",503,1
L31D1,3,40473,"Spojovací",502,1
L31D1,3,40474,"Palmovka",503,1
L31D1,3,40475,"Spojovací",502,1
L31D1,3,40476,"Palmovka",503,1
L31D1,3,40477,"Spojovací",502,1
L31D1,3,40478,"Palmovka",503,1
L31D1,3,40479,"Spojovací",502,1
L31D1,3,40480,"Palmovka",503,1
L31D1,3,40481,"Spojovací",502,1
L31D1,3,40482,"Palmovka",503,1
L31D1,3,40483,"Spojovací",502,1
L31D1,3,40484,"Palmovka",503,1
L31D1,3,40485,"Spojovací",502,1
L31D1,3,40486,"Palmovka",503,1
L31D1,3,40487,"Spojovací",502,1
L31D1,3,40488,"Palmovka",503,1
L31D1,3,40489,"Spojovací",502,1
L31D1,3,40490,"Palmovka",503,1
L31D1,3,40491,"Spojovací",502,1
L31D1,3,40492,"Palmovka",503,1
L31D1,3,40493,"Spojovací",502,1
L31D1,3,40494,"Palmovka",503,1
L31D1,3,40495,"Spojovací",203,2
L31D1,3,40496,"Palmovka",503,2
L31D1,3,40497,"Spojovací",502,2
L31D1,3,40498,"Palmovka",503,2
L31D1,3,40499,"Spojovací",502,2
L31D1,3,40500,"Palmovka",503,2
L31D1,3,40501,"Spojovací",502,2
L31D1,3,40502,"Palmovka",503,2
L31D1,3,40503,"Spojovací",502,2
L31D1,3,40504,"Palmovka",503,2
L31D1,3,40505,"Spojovací",502,2
L31D1,3,40506,"Palmovka",503,2
L31D1,3,40507,"Spojovací",502,2
L31D1,3,40508,"Palmovka",503,2
L31D1,3,40509,"Spojovací",502,2
L31D1,3,40510,"Vozovna Žižkov",206,2
L31D1,3,40511,"Strážní",207,2
L31D1,3,40512,"Spojovací",203,2
L31D1,3,40513,"Palmovka",503,2
L31D1,3,40514,"Spojovací",502,2
L31D1,3,40515,"Palmovka",503,2
L31D1,3,40516,"Spojovací",502,2
L31D1,3,40517,"Palmovka",503,2
L31D1,3,40518,"Spojovací",502,2
L31D1,3,40519,"Palmovka",503,2
L31D1,3,40520,"Spojovací",502,2
L31D1,3,40521,"Palmovka",503,2
L31D1,3,40522,"Spojovací",502,2
L31D1,3,40523,"Palmovka",503,2
L31D1,3,40524,"Spojovací",502,2
L31D1,3,40525,"Vozovna Žižkov",206,2
L31D1,3,40526,"Strážní",207,2
L31D1,3,40527,"Spojovací",203,1
L31D1,3,40528,"Palmovka",503,1
L31D1,3,40529,"Spojovací",502,1
L31D1,3,40530,"Palmovka",503,1
L31D1,3,40531,"Spojovací",502,1
L31D1,3,40532,"Palmovka",503,1
L31D1,3,40533,"Spojovací",502,1
L31D1,3,40534,"Palmovka",503,1
L31D1,3,40535,"Spojovací",502,1
L31D1,3,40536,"Palmovka",503,1
L31D1,3,40537,"Spojovací",502,1
L31D1,3,40538,"Palmovka",503,1
L31D1,3,40539,"Spojovací",502,1
L31D1,3,40540,"Palmovka",503,1
L31D1,3,40541,"Spojovací",502,1
L31D1,3,40542,"Palmovka",503,1
L31D1,3,40543,"Spojovací",502,1
L31D1,3,40544,"Palmovka",503,1
L31D1,4,40545,"Spojovací",502,1
L31D1,3,40546,"Strážní",207,1
L31D1,3,40547,"Spojovací",203,2
L31D1,3,40548,"Palmovka",503,2
L31D1,3,40549,"Spojovací",502,2
L31D1,3,40550,"Palmovka",503,2
L31D1,3,40551,"Spojovací",502,2
L31D1,3,40552,"Palmovka",503,2
L31D1,3,40553,"Spojovací",502,2
L31D1,3,40554,"Palmovka",503,2
L31D1,3,40555,"Spojovací",502,2
L31D1,3,40556,"Palmovka",503,2
L31D1,3,40557,"Spojovací",502,2
L31D1,3,40558,"Palmovka",503,2
L31D1,3,40559,"Spojovací",502,2
L31D1,3,40560,"Palmovka",503,2
L31D1,3,40561,"Spojovací",502,2
L31D1,3,40562,"Vozovna Žižkov",206,2
L31D1,3,40563,"Strážní",207,2
L31D1,3,40564,"Spojovací",502,1
L31D1,3,40565,"Palmovka",503,1
L31D1,3,40566,"Spojovací",502,1
L31D1,3,40567,"Palmovka",503,1
L31D1,3,40568,"Spojovací",502,1
L31D1,3,40569,"Palmovka",503,1
L31D1,3,40570,"Spojovací",502,1
L31D1,3,40571,"Palmovka",503,1
L31D1,3,40572,"Spojovací",502,1
L31D1,3,40573,"Palmovka",503,1
L31D1,3,40574,"Spojovací",502,1
L31D1,3,40575,"Palmovka",503,1
L31D1,3,40576,"Spojovací",502,1
L31D1,3,40577,"Palmovka",503,1
L31D1,3,40578,"Spojovací",504,1
L31D1,3,40579,"Palmovka",503,1
L31D1,3,40580,"Spojovací",502,1
L31D1,3,40581,"Palmovka",503,1
L31D1,3,40582,"Spojovací",502,1
L31D1,3,40583,"Palmovka",503,1
L31D1,3,40584,"Spojovací",502,1
L31D1,3,40585,"Palmovka",503,1
L31D1,3,40586,"Spojovací",502,1
L31D1,3,40587,"Palmovka",503,1
L31D1,3,40588,"Spojovací",502,1
L31D1,3,40589,"Palmovka",503,1
L31D1,3,40590,"Spojovací",502,1
L31D1,3,40591,"Palmovka",503,1
L31D1,3,40592,"Spojovací",502,1
L31D1,3,40593,"Palmovka",503,1
L31D1,3,40594,"Palmovka",505,1
L31D1,3,40595,"Spojovací",502,2
L31D1,3,40596,"Spojovací",203,2
L31D1,3,40597,"Palmovka",503,2
L31D1,3,40598,"Spojovací",502,2
L31D1,3,40599,"Palmovka",503,2
L31D1,3,40600,"Spojovací",502,2
L31D1,3,40601,"Strážní",207,2
L31D1,3,40602,"Spojovací",203,2
L31D1,3,40603,"Palmovka",503,2
L31D1,3,40604,"Spojovací",502,2
L31D1,3,40605,"Palmovka",503,2
L31D1,4,40606,"Spojovací",502,2
L31D1,3,40607,"Strážní",207,2
L31D1,5,40608,"Spojovací",502,1
